2014-03-22,ARI,LAD
2014-03-22,LAD,ARI
2014-03-23,ARI,LAD
2014-03-23,LAD,ARI
2014-03-30,LAD,SDP
2014-03-30,SDP,LAD
2014-03-31,SEA,LAA
2014-03-31,OAK,CLE
2014-03-31,DET,KCR
2014-03-31,PHI,TEX
2014-03-31,MIN,CHW
2014-03-31,CLE,OAK
2014-03-31,ATL,MIL
2014-03-31,MIA,COL
2014-03-31,CHW,MIN
2014-03-31,TBR,TOR
2014-03-31,BOS,BAL
2014-03-31,ARI,SFG
2014-03-31,CIN,STL
2014-03-31,KCR,DET
2014-03-31,BAL,BOS
2014-03-31,TEX,PHI
2014-03-31,TOR,TBR
2014-03-31,MIL,ATL
2014-03-31,SFG,ARI
2014-03-31,STL,CIN
2014-03-31,LAA,SEA
2014-03-31,COL,MIA
2014-04-01,SDP,LAD
2014-04-01,SEA,LAA
2014-04-01,NYY,HOU
2014-04-01,MIA,COL
2014-04-01,LAD,SDP
2014-04-01,TBR,TOR
2014-04-01,TOR,TBR
2014-04-01,MIL,ATL
2014-04-01,SFG,ARI
2014-04-01,HOU,NYY
2014-04-01,LAA,SEA
2014-04-01,ATL,MIL
2014-04-01,COL,MIA
2014-04-01,PHI,TEX
2014-04-01,TEX,PHI
2014-04-01,ARI,SFG
2014-04-02,TOR,TBR
2014-04-02,HOU,NYY
2014-04-02,SDP,LAD
2014-04-02,COL,MIA
2014-04-02,TBR,TOR
2014-04-02,MIA,COL
2014-04-02,NYY,HOU
2014-04-02,BOS,BAL
2014-04-02,LAD,SDP
2014-04-02,MIL,ATL
2014-04-02,ARI,SFG
2014-04-02,LAA,SEA
2014-04-02,STL,CIN
2014-04-02,WSN,NYM
2014-04-02,CIN,STL
2014-04-02,NYM,WSN
2014-04-02,TEX,PHI
2014-04-02,SEA,LAA
2014-04-02,ATL,MIL
2014-04-02,BAL,BOS
2014-04-02,SFG,ARI
2014-04-02,PHI,TEX
2014-04-02 (1),CLE,OAK
2014-04-02 (1),OAK,CLE
2014-04-02 (2),CLE,OAK
2014-04-02 (2),OAK,CLE
2014-04-03,CIN,STL
2014-04-03,STL,CIN
2014-04-03,ARI,SFG
2014-04-03,HOU,NYY
2014-04-03,NYM,WSN
2014-04-03,BOS,BAL
2014-04-03,MIA,COL
2014-04-03,TOR,TBR
2014-04-03,WSN,NYM
2014-04-03,SFG,ARI
2014-04-03,CHW,MIN
2014-04-03,BAL,BOS
2014-04-03,MIN,CHW
2014-04-03,TBR,TOR
2014-04-03,COL,MIA
2014-04-03,CHC,PIT
2014-04-03,PIT,CHC
2014-04-03,NYY,HOU
2014-04-04,MIA,SDP
2014-04-04,CHC,PHI
2014-04-04,TOR,NYY
2014-04-04,SDP,MIA
2014-04-04,PHI,CHC
2014-04-04,WSN,ATL
2014-04-04,KCR,CHW
2014-04-04,LAA,HOU
2014-04-04,TEX,TBR
2014-04-04,DET,BAL
2014-04-04,CHW,KCR
2014-04-04,CLE,MIN
2014-04-04,LAD,SFG
2014-04-04,ATL,WSN
2014-04-04,NYY,TOR
2014-04-04,MIN,CLE
2014-04-04,PIT,STL
2014-04-04,NYM,CIN
2014-04-04,BOS,MIL
2014-04-04,HOU,LAA
2014-04-04,ARI,COL
2014-04-04,BAL,DET
2014-04-04,MIL,BOS
2014-04-04,COL,ARI
2014-04-04,SFG,LAD
2014-04-04,STL,PIT
2014-04-04,CIN,NYM
2014-04-04,TBR,TEX
2014-04-05,CLE,MIN
2014-04-05,HOU,LAA
2014-04-05,PIT,STL
2014-04-05,SDP,MIA
2014-04-05,CHC,PHI
2014-04-05,LAD,SFG
2014-04-05,KCR,CHW
2014-04-05,TBR,TEX
2014-04-05,MIA,SDP
2014-04-05,PHI,CHC
2014-04-05,OAK,SEA
2014-04-05,STL,PIT
2014-04-05,SEA,OAK
2014-04-05,TOR,NYY
2014-04-05,NYY,TOR
2014-04-05,ARI,COL
2014-04-05,DET,BAL
2014-04-05,LAA,HOU
2014-04-05,CIN,NYM
2014-04-05,SFG,LAD
2014-04-05,MIN,CLE
2014-04-05,COL,ARI
2014-04-05,TEX,TBR
2014-04-05,BAL,DET
2014-04-05,CHW,KCR
2014-04-05,WSN,ATL
2014-04-05,NYM,CIN
2014-04-05,ATL,WSN
2014-04-06,BOS,MIL
2014-04-06,CHC,PHI
2014-04-06,ATL,WSN
2014-04-06,SFG,LAD
2014-04-06,OAK,SEA
2014-04-06,PIT,STL
2014-04-06,CHW,KCR
2014-04-06,MIA,SDP
2014-04-06,KCR,CHW
2014-04-06,NYM,CIN
2014-04-06,ARI,COL
2014-04-06,STL,PIT
2014-04-06,TEX,TBR
2014-04-06,BAL,DET
2014-04-06,TOR,NYY
2014-04-06,MIL,BOS
2014-04-06,CLE,MIN
2014-04-06,SDP,MIA
2014-04-06,LAD,SFG
2014-04-06,DET,BAL
2014-04-06,SEA,OAK
2014-04-06,CIN,NYM
2014-04-06,WSN,ATL
2014-04-06,MIN,CLE
2014-04-06,NYY,TOR
2014-04-06,HOU,LAA
2014-04-06,COL,ARI
2014-04-06,PHI,CHC
2014-04-06,LAA,HOU
2014-04-06,TBR,TEX
2014-04-07,LAA,HOU
2014-04-07,CHW,COL
2014-04-07,COL,CHW
2014-04-07,BAL,NYY
2014-04-07,STL,CIN
2014-04-07,OAK,MIN
2014-04-07,CIN,STL
2014-04-07,TEX,BOS
2014-04-07,MIN,OAK
2014-04-07,KCR,TBR
2014-04-07,BOS,TEX
2014-04-07,HOU,LAA
2014-04-07,NYY,BAL
2014-04-07,TBR,KCR
